,link,name,place,level,pay,form,places,min
78,p20230731112014_6_l1_p3_f1_s4,09.03.01 Информатика и вычислительная техника,Ступинский филиал МАИ,Бакалавриат,Платная иностранцы,очная,13,-1
79,p20230731112014_6_l1_p3_f1_s39,15.03.04 Автоматизация технологических процессов и производств,Ступинский филиал МАИ,Бакалавриат,Платная иностранцы,очная,10,-1
80,p20230731112014_6_l1_p3_f1_s40,22.03.01 Материаловедение и технологии материалов,Ступинский филиал МАИ,Бакалавриат,Платная иностранцы,очная,9,-1
81,p20230731112014_6_l1_p3_f1_s41,24.03.05 Двигатели летательных аппаратов,Ступинский филиал МАИ,Бакалавриат,Платная иностранцы,очная,15,-1
82,p20230731112014_6_l1_p3_f1_s60,38.03.02 Менеджмент,Ступинский филиал МАИ,Бакалавриат,Платная иностранцы,очная,0,-1
83,p20230731112014_2_l2_p1_f1_s13,11.05.01 Радиоэлектронные системы и комплексы,"Филиал ""Взлет МАИ""",Специалитет,Бюджет,очная,10,164
84,p20230731112014_2_l2_p1_f1_s30,24.05.03 Испытание летательных аппаратов,"Филиал ""Взлет МАИ""",Специалитет,Бюджет,очная,19,137
85,p20230731112014_3_l1_p1_f1_s31,01.03.04 Прикладная математика,"Филиал ""Восход МАИ""",Бакалавриат,Бюджет,очная,15,175
86,p20230731112014_3_l1_p1_f1_s4,09.03.01 Информатика и вычислительная техника,"Филиал ""Восход МАИ""",Бакалавриат,Бюджет,очная,20,150
87,p20230731112014_3_l1_p3_f1_s60,38.03.02 Менеджмент,"Филиал ""Восход МАИ""",Бакалавриат,Платная иностранцы,очная,0,-1
88,p20230731112014_3_l2_p1_f1_s30,24.05.03 Испытание летательных аппаратов,"Филиал ""Восход МАИ""",Специалитет,Бюджет,очная,15,181
89,p20230731112014_5_l1_p1_f1_s4,09.03.01 Информатика и вычислительная техника,"Филиал ""Стрела МАИ""",Бакалавриат,Бюджет,очная,18,216
90,p20230731112014_5_l1_p1_f1_s38,24.03.03 Баллистика и гидроаэродинамика,"Филиал ""Стрела МАИ""",Бакалавриат,Бюджет,очная,20,188
91,p20230731112014_5_l2_p1_f1_s13,11.05.01 Радиоэлектронные системы и комплексы,"Филиал ""Стрела МАИ""",Специалитет,Бюджет,очная,7,195
92,p20230731112014_5_l2_p1_f1_s30,24.05.03 Испытание летательных аппаратов,"Филиал ""Стрела МАИ""",Специалитет,Бюджет,очная,6,219
93,p20230731112014_5_l2_p1_f1_s23,24.05.06 Системы управления летательными аппаратами,"Филиал ""Стрела МАИ""",Специалитет,Бюджет,очная,19,189
94,p20230731112014_5_l2_p1_f1_s24,24.05.07 Самолето-вертолетостроение,"Филиал ""Стрела МАИ""",Специалитет,Бюджет,очная,12,202
